execution	cohort	cohort_sort	dependence	dependence_sort	model	model_sort	independence	model_note
0	female_male	1	alcoholism_control_case_1	1	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	region is not a strong covariate
0	female_male	1	alcoholism_control_case_1	1	2	2	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex model
0	female_male	1	alcoholism_control_case_1	1	3	3	age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “sex_y”
0	female_male	1	alcoholism_control_case_1	1	4	4	sex_y;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “age”
0	female_male	1	alcoholism_control_case_1	1	5	5	sex_y;age;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “body_log”
0	female_male	1	alcoholism_control_case_1	1	6	6	sex_y;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “season”
0	female_male	1	alcoholism_control_case_1	1	7	7	sex_y;age;body_log;season;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “medication_vitamin_d”
0	female_male	1	alcoholism_control_case_1	1	8	8	sex_y;age;body_log;season;medication_vitamin_d;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “alteration_sex_hormone”
0	female_male	1	alcoholism_control_case_1	1	9	9	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “cholesterol_imputation”
0	female_male	1	alcoholism_control_case_1	1	10	10	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “vitamin_d_imputation”
0	female_male	1	alcoholism_control_case_1	1	11	11	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “oestradiol_detection”
0	female_male	1	alcoholism_control_case_1	1	12	12	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;steroid_globulin_imputation;albumin_imputation	joint complex; leave out “testosterone_imputation”
0	female_male	1	alcoholism_control_case_1	1	13	13	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;albumin_imputation	joint complex; leave out “steroid_globulin_imputation”
0	female_male	1	alcoholism_control_case_1	1	14	14	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation	joint complex; leave out “albumin_imputation”
1	female_male	1	alcoholism_control_case_1	1	15	15	sex_y;age;body_log;season;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple model
1	female_male	1	alcoholism_control_case_1	1	16	16	age;body_log;season;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “sex_y”
1	female_male	1	alcoholism_control_case_1	1	17	17	sex_y;body_log;season;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “age”
1	female_male	1	alcoholism_control_case_1	1	18	18	sex_y;age;season;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “body_log”
1	female_male	1	alcoholism_control_case_1	1	19	19	sex_y;age;body_log;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “season”
1	female_male	1	alcoholism_control_case_1	1	20	20	sex_y;age;body_log;season;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “alteration_sex_hormone”
1	female_male	1	alcoholism_control_case_1	1	21	21	sex_y;age;body_log;season;alteration_sex_hormone;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “vitamin_d_imputation”
1	female_male	1	alcoholism_control_case_1	1	22	22	sex_y;age;body_log;season;alteration_sex_hormone;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “oestradiol_detection”
1	female_male	1	alcoholism_control_case_1	1	23	23	sex_y;age;body_log;season;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;steroid_globulin_imputation;albumin_imputation	joint simple; leave out “testosterone_imputation”
1	female_male	1	alcoholism_control_case_1	1	24	24	sex_y;age;body_log;season;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;albumin_imputation	joint simple; leave out “steroid_globulin_imputation”
1	female_male	1	alcoholism_control_case_1	1	25	25	sex_y;age;body_log;season;alteration_sex_hormone;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation	joint simple; leave out “albumin_imputation”
1	female_male	1	alcoholism_control_case_1	1	26	26	sex_y	marginal model
1	female_male	1	alcoholism_control_case_1	1	27	27	age	marginal model
1	female_male	1	alcoholism_control_case_1	1	28	28	body_log	marginal model
1	female_male	1	alcoholism_control_case_1	1	29	29	season	marginal model
1	female_male	1	alcoholism_control_case_1	1	30	30	day_length	marginal model
1	female_male	1	alcoholism_control_case_1	1	31	31	region	marginal model
1	female_male	1	alcoholism_control_case_1	1	32	32	medication_vitamin_d	marginal model
1	female_male	1	alcoholism_control_case_1	1	33	33	alteration_sex_hormone	marginal model
1	female_male	1	alcoholism_control_case_1	1	34	34	cholesterol_imputation	marginal model
1	female_male	1	alcoholism_control_case_1	1	35	35	vitamin_d_imputation	marginal model
1	female_male	1	alcoholism_control_case_1	1	36	36	oestradiol_detection	marginal model
1	female_male	1	alcoholism_control_case_1	1	37	37	testosterone_imputation	marginal model
1	female_male	1	alcoholism_control_case_1	1	38	38	steroid_globulin_imputation	marginal model
1	female_male	1	alcoholism_control_case_1	1	39	39	albumin_imputation	marginal model
0	female_male_winter	2	alcoholism_control_case_1	1	1	1	sex_y;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation	blah
0	female_male_summer	3	alcoholism_control_case_1	1	2	2	sex_y;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation	blah
0	female	4	alcoholism_control_case_1	1	1	1	menopause_ordinal;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint model
0	female_menstruation_regular	5	alcoholism_control_case_1	1	1	1	menstruation_phase_cycle;menopause_ordinal;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint model
0	female_premenopause	6	alcoholism_control_case_1	1	1	1	menstruation_phase_cycle;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_detection;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint model
